Date,Close,High,Low,Open,Volume,Symbol
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2021-06-11,2944.572998046875,2976.233094634134,2888.0883852735583,2888.5831188867132,3452954,TCS
2021-06-14,2946.866943359375,2975.963563411032,2941.470327877774,2949.2503606948767,1847360,TCS
2021-06-15,2934.634033203125,2966.339143821594,2924.5603965839546,2966.339143821594,1304985,TCS
2021-06-16,2945.06787109375,2963.3712589364945,2925.8648278097885,2934.0497819020284,1635552,TCS
2021-06-17,2984.103515625,3000.563236834891,2932.1610913834675,2937.10798893028,2273413,TCS
2021-06-18,2965.71044921875,3020.306172019736,2945.6529819430125,3013.9200884065394,3380431,TCS
2021-06-21,2943.943359375,2955.545993180383,2924.6953017988076,2936.6578416719262,1130569,TCS
2021-06-22,2969.2177734375,2992.468279478125,2954.646955656143,2971.7362378958587,1708688,TCS
2021-06-23,2933.419921875,2994.221871688954,2928.922742734584,2994.221871688954,1467104,TCS
2021-06-24,3034.3369140625,3042.7915233358513,2948.8004756892074,2953.7473729337676,4155204,TCS
2021-06-25,3040.812744140625,3057.766978040191,3013.1100762383394,3035.820831290584,2722861,TCS
2021-06-28,3001.192626953125,3050.4367406343067,2997.8197424544137,3050.4367406343067,1355238,TCS
2021-06-29,3004.880126953125,3027.770723739238,2991.9731356165926,3005.9143902692476,1497322,TCS
2021-06-30,3009.287353515625,3041.891901543703,3002.7664439100095,3009.512212467543,1693146,TCS
2021-07-01,3005.46533203125,3023.9037696510736,2997.2355806364835,3020.3060257252546,990310,TCS
2021-07-02,2991.029296875,3003.846259423316,2963.8213588338385,2996.0212104168527,1682274,TCS
2021-07-05,2987.02587890625,3034.6959697168586,2969.936601068485,3005.9140280953593,1972858,TCS
2021-07-06,2934.2294921875,2993.322381093609,2928.653034073179,2979.8308439192087,2159420,TCS
2021-07-07,2945.607421875,2952.5780497807373,2915.6113677371595,2945.6524375857066,2640710,TCS
2021-07-08,2930.8115234375,2966.3392371633804,2906.8864435739124,2966.3392371633804,2485811,TCS
2021-07-09,2885.524658203125,2951.9480749026184,2879.093780549446,2923.1661314544513,6365067,TCS
2021-07-12,2871.989013671875,2910.574728009262,2867.7166929184623,2909.675292061175,1892226,TCS
2021-07-13,2866.996826171875,2890.7868608067965,2855.708862184685,2890.7868608067965,1809339,TCS
2021-07-14,2891.281494140625,2897.9822471630723,2864.703121419735,2866.501993081537,2044279,TCS
2021-07-15,2887.134521484375,2913.1850723399903,2879.0670482525607,2909.354128396636,2232968,TCS
2021-07-16,2879.7890625,2902.3691474905413,2877.2651017304806,2896.19447739976,1256526,TCS
2021-07-19,2870.594482421875,2884.2956990987127,2862.842365319797,2866.447960238336,1597058,TCS
2021-07-20,2889.70361328125,2897.9964362079622,2844.949041720154,2870.5940073889087,1811945,TCS
2021-07-22,2899.2138671875,2906.9657641549506,2875.4619228384026,2875.4619228384026,2859334,TCS
2021-07-23,2896.05908203125,2921.929182321891,2890.4702336880823,2911.5179826736417,1776193,TCS
2021-07-26,2882.267578125,2906.3348804111424,2876.2282505952267,2884.475961019045,1259611,TCS
2021-07-27,2869.107421875,2893.490304749511,2849.4568829568548,2884.476316261195,1121367,TCS
2021-07-28,2882.493408203125,2888.4876227813875,2823.5417888841457,2873.659655086669,1660654,TCS
2021-07-29,2880.68994140625,2907.4163242025197,2875.7322486733947,2884.701121512862,1731997,TCS
2021-07-30,2855.135498046875,2905.6589432609762,2850.5384963477914,2901.6026487845766,2999943,TCS
2021-08-02,2901.962890625,2906.9205834816153,2854.7296867091914,2866.4478698248276,2608669,TCS
2021-08-03,2961.004150390625,2965.601371242554,2901.556957190415,2910.6160570645,3804735,TCS
2021-08-04,2951.1337890625,2979.3024942301504,2939.6409573540986,2974.615265703855,2929598,TCS
2021-08-05,2960.14794921875,2988.136420336867,2940.812992865469,2952.0804755967542,2534521,TCS
2021-08-06,2983.449462890625,2996.249280423954,2943.0667570951296,2949.8723612974263,2292362,TCS
2021-08-09,2995.077392578125,3007.9674378988816,2983.629673193077,2996.159026995886,1510489,TCS
2021-08-10,3005.17333984375,3019.5957204928204,2988.677918030827,2988.677918030827,2040777,TCS
2021-08-11,3014.457763671875,3028.699908445439,2999.0439765358024,3019.685920622685,1929707,TCS
2021-08-12,3021.2626953125,3035.9104222607593,2998.051681840643,2998.051681840643,1310205,TCS
2021-08-13,3121.904541015625,3136.8678492432655,3026.4464953546735,3029.3760414782487,4363584,TCS
2021-08-16,3130.512939453125,3149.8030059434077,3097.6569969862644,3118.8398689284086,2083489,TCS
2021-08-17,3202.714599609375,3209.7004393262005,3121.54360507962,3138.760407763785,4336019,TCS
2021-08-18,3209.4755859375,3240.528731015256,3187.887128391221,3221.464234157652,2631309,TCS
2021-08-20,3208.5283203125,3222.499998628231,3154.895103552114,3160.3034951582035,2836148,TCS
2021-08-23,3278.74755859375,3310.8374404901338,3210.6919564274,3227.0073610004574,3744176,TCS
2021-08-24,3256.93408203125,3305.7449588206027,3239.987740671893,3296.4153932652675,2511141,TCS
2021-08-25,3298.218017578125,3333.147219048787,3251.390396652358,3254.0494789442555,2123263,TCS
2021-08-26,3309.80078125,3323.9978102458085,3288.2121071352803,3299.11911902594,1902533,TCS
2021-08-27,3353.338623046875,3361.7667897667725,3291.097212606248,3304.5279665598573,3944728,TCS
2021-08-30,3336.346923828125,3371.5465857210597,3323.997806127345,3348.696041528905,2033114,TCS
2021-08-31,3413.101318359375,3429.0111386427284,3338.2852206750117,3343.6484993267245,3207480,TCS
2021-09-01,3348.6513671875,3440.3686934206157,3341.4852908713506,3421.7097826133386,2643336,TCS
2021-09-02,3458.441162109375,3478.6324032100083,3355.0056702602706,3365.8224537216147,3403717,TCS
2021-09-03,3463.218505859375,3476.6041429153784,3429.4160586452012,3447.8496158457274,1746812,TCS
2021-09-06,3472.187744140625,3495.263638567114,3437.934594016704,3470.1144831458328,1723693,TCS
2021-09-07,3439.647216796875,3488.3678606233043,3432.7516047580775,3483.004582363346,1585039,TCS
2021-09-08,3402.01416015625,3438.8363888080653,3385.6538601213874,3434.3293948515675,4147175,TCS
2021-09-09,3417.562744140625,3433.156984756147,3393.7659078735837,3416.030410453465,1441148,TCS
